n_estimators,mean,std
1,0.97784444444444441,0.016362951226459924
10,0.99214444444444427,0.0062678978302040363
20,0.99322222222222223,0.005434003594195394
40,0.99364444444444455,0.00515938555055341
80,0.99404444444444451,0.004686782043782904
160,0.99424444444444438,0.0045838686556065296
320,0.99428888888888878,0.0045677884537295259
640,0.99436666666666673,0.0044952787304234493
