S,mean,std
0.92155555555555546,0.0116222222222222,"[u'count_thread-topic', 'count_make', 'count_hello', u'count_k', u'count_x-msmail-priority', u'count_\x1b', 'count_best', u'count_content-classes', 'count_blue', 'len', 'count_egg', 'count_quality', u'count_x-to', 'count_spam', u'count_mark', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', u'count_thread-index', 'is_html', u'count_david', u'count_enron', u'count_x-ms-tnef-correlator', u'count_houston', 'count_regards', 'count_indigo', 'count_free', 'count_technology', 'count_investment', 'count_people', 'count_tape', 'count_table', u'count_2005', 'count_remove', 'count_pm', u'count_multipart/alternative', 'count_monkey', u'count_statements', 'count_wrap', 'count_our', 'count_how', 'count_over', 'count_price', 'count_enter', u'count_de', 'count_thread', u'count_+0300', 'non_ascii', u'count_g', 'count_fault']"
0.93792222222222221,0.0025333333333333319,"['count_direct', u'count_houston', 'count_investment', 'count_germ', u'count_mx', 'count_best', 'count_free', u'count_font-family', 'count_hammer', 'count_think', 'count_paper', 'count_offer', 'count_credit', 'count_call', 'count_punch', 'count_tape', u'count_content-class', u'count_x-bcc', 'count_report', 'count_telnet', u'count_content-classes', 'count_promotion', 'count_cs', u'count_+0000', 'count_make', 'count_regards', u'count_x-from', 'count_madam', 'count_george', 'count_spaces', 'count_original', u'count_thread-topic', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', 'count_our', 'count_actor', 'count_blue', u'count_-original', u'count_professional', u'count_x-filename', 'count_monkey', 'count_money', 'is_a_request', u'count_adobe', 'non_ascii', u'count_x-origin', u'count_express', u'count_statements', 'len', u'count_+0300', 'count_remove', u'count_john', u'count_binary', u'count_v6.00.2900.2527', 'count_over', 'count_internet', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', 'count_how', 'count_order', 'count_spam', 'count_business', 'count_gun', 'count_bank', 'count_data', u'count_x-msmail-priority', u'count_2005', 'count_re', u'count_enron', 'count_hp', 'count_chamber', 'count_hi', 'count_hello', 'count_we', 'count_receive', u'count_x-ms-tnef-correlator', u'count_mimeole', 'count_dear', 'count_pm', u'count_\x1b', 'count_price', u'count_software', 'count_adult', 'count_conference', 'count_here', u'count_xp', 'count_thread', 'count_font', u'count_x-to', u'count_thread-index', u'count_format', u'count_multipart/alternative', u'count_k']"
0.94330000000000003,0.031877777777777783,"[u'count_+0000', 'count_thread', 'is_a_request', u'count_x-from', 'is_html', u'count_john', 'count_internet', u'count_+0300', u'count_////////////////////////////////////////////////////////////////////////////', u'count_2005', 'count_data', u'count_statements', u'count_mx', u'count_x-ms-has-attach', u'count_binary']"
0.9466444444444444,0.028733333333333333,"['count_cs', 'count_wrap', 'count_pm', u'count_binary', u'count_-original', u'count_x-bcc', 'count_take', u'count_xp', 'count_offer', 'count_gun', 'count_investment', 'count_free', u'count_2005', 'count_address', u'count_\x81', u'count_+0000', 'count_people', 'count_hello', 'count_regards', u'count_+0300', 'non_ascii', u'count_mx', u'count_houston', u'count_x-cc', 'count_valuable', 'count_receive', 'is_html', u'count_software', u'count_louise', 'count_remove', 'count_email', 'count_egg', u'count_x-msmail-priority', 'count_madam', 'count_think']"
0.93408888888888886,0.010066666666666668,"['count_thank', u'count_format', 'is_a_request', 'count_dear', 'count_people', u'count_-original', 'count_germ', 'count_table', 'count_edu', u'count_x-bcc', u'count_mx', 'count_wrap', u'count_x-ms-tnef-correlator', u'count_windows', 'count_here', 'count_offer', 'count_font', 'count_think', 'count_investment', 'count_enter', 'count_price', u'count_houston', u'count_software', 'count_republic', 'count_george', 'count_re', u'count_professional', 'count_spaces', u'count_de', u'count_multipart/alternative', 'count_free', 'count_actor', u'count_x-msmail-priority', u'count_adobe', u'count_x-cc', u'count_david', 'count_gun', u'count_n', 'count_click', u'count_font-family', 'count_internet', 'count_tape', 'len', u'count_x-origin', 'count_regards', 'count_conference', u'count_mimeole', u'count_binary', u'count_+0000', 'count_monkey', 'count_telnet', 'count_call', u'count_x-from', u'count_x-filename', 'count_direct', 'count_chamber', 'is_html', u'count_////////////////////////////////////////////////////////////////////////////', 'count_make', 'count_order', 'count_over', 'count_our', 'count_paper', 'count_credit', u'count_k', 'count_thread', 'count_email', u'count_enron', u'count_express', u'count_louise', 'count_data', 'count_cs', 'count_blue', u'count_2005', 'count_take', u'count_x-ms-has-attach', 'count_hello', 'count_indigo', u'count_content-class', 'count_fast', u'count_v6.00.2900.2527', u'count_\x81', u'count_\x1b', 'count_remove', u'count_thread-topic', u'count_2004', 'count_punch', u'count_content-classes', 'count_madam', 'non_ascii', 'count_quality', 'count_valuable', 'count_promotion', 'count_how', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', 'count_we', 'count_upgrade', u'count_x-to', 'count_bank', 'count_report', 'count_technology', u'count_mark', u'count_+0300', 'count_hp', 'count_revenue', 'count_best']"
0.92931111111111109,0.016199999999999992,"[u'count_express', u'count_iso-8859-7', 'count_we', 'count_fault', 'count_george', u'count_adobe', 'count_spaces', 'count_over', u'count_////////////////////////////////////////////////////////////////////////////', 'count_address', u'count_houston', 'count_telnet', 'count_original', 'count_tape', 'count_indigo', u'count_g', 'count_report', u'count_enron', u'count_x-from', 'count_offer', 'count_font', u'count_john', 'count_enter', 'count_wrap', 'count_call', 'count_spam', u'count_software', u'count_x-cc', u'count_david', 'count_order', u'count_+0000', 'is_html', u'count_2005', u'count_+0300', 'count_internet', 'count_price', 'non_ascii', 'count_hp']"
0.91545555555555547,0.022988888888888892,"['count_bank', 'count_how', u'count_x-ms-tnef-correlator', 'count_email', 'count_cs', 'count_internet', 'count_business', 'count_font', 'count_offer', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', u'count_john', u'count_g', 'count_best', 'count_here', 'count_data', u'count_x-ms-has-attach', 'count_valuable', u'count_binary', 'count_dear', 'count_order', 'count_address', 'count_we', 'count_spaces', 'count_chamber', u'count_adobe', 'count_thread', u'count_2004', u'count_xp', u'count_content-classes', 'count_republic', 'count_fast', 'count_wrap', 'count_monkey', 'count_price', 'count_madam', 'count_people', u'count_x-to', 'count_call', 'count_egg', 'count_direct', 'count_remove', 'count_blue', 'count_hi', u'count_mx', 'count_free', u'count_thread-topic', u'count_iso-8859-7', 'count_enter', u'count_statements', 'count_conference', u'count_x-filename', 'count_all', 'count_over', u'count_x-origin', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', u'count_-original', 'count_hp', 'count_think', u'count_enron', 'count_original', 'count_hammer', 'len', u'count_+0300', u'count_x-from', u'count_software', u'count_content-class', u'count_2005', 'count_receive', 'count_technology', 'count_hello', 'count_investment', 'count_report', u'count_format', u'count_+0000', u'count_de', 'count_paper', u'count_thread-index', u'count_k', u'count_////////////////////////////////////////////////////////////////////////////', u'count_x-msmail-priority', 'count_regards', 'count_credit', u'count_mimeole', u'count_david', 'count_re', 'count_punch', u'count_windows', 'count_gun', 'count_money', 'count_quality', u'count_\x81', u'count_mark', u'count_x-cc', u'count_x-bcc', 'count_george', 'count_click', 'count_indigo', 'count_upgrade', u'count_professional', 'count_promotion', 'count_revenue', 'count_pm', 'count_fault', 'count_actor', 'count_make', 'count_germ', 'count_telnet', u'count_louise', u'count_n', 'count_table', u'count_houston']"
0.92204444444444444,0.0019111111111110857,"['count_bank', 'count_call', u'count_x-msmail-priority', u'count_mimeole', 'non_ascii', 'count_gun', 'count_all', 'count_make', 'count_thank', 'count_upgrade', 'count_paper', 'count_blue', 'count_data', 'count_adult', u'count_thread-index', u'count_-original', 'count_remove', u'count_content-classes', 'count_table', 'count_chamber', u'count_\x1b', u'count_houston', u'count_format', 'count_people', 'count_republic', 'count_internet', u'count_xp', u'count_x-bcc', 'count_receive', 'count_email', u'count_2005', u'count_x-origin', u'count_\x81', u'count_mx', 'count_george', 'count_promotion', u'count_statements']"
0.92314444444444443,0.021811111111111114,"['is_a_request', 'count_thank', u'count_+0300', 'count_take', u'count_k', 'count_indigo', 'count_dear', 'count_madam', u'count_n', 'is_html', 'count_actor', 'count_spaces', u'count_x-to', 'count_revenue', 'count_best', u'count_content-classes', u'count_thread-topic', 'count_order', 'count_our', 'count_regards', u'count_multipart/alternative', 'count_germ', 'count_fast', 'count_credit', 'count_receive', u'count_de', 'count_valuable', 'count_thread', 'count_pm', u'count_software', u'count_enron', 'count_think', 'count_gun', u'count_format', 'count_data', u'count_////////////////////////////////////////////////////////////////////////////', 'count_tape', u'count_2004', 'count_money', 'len', 'count_email', 'count_here', 'count_spam', u'count_x-bcc', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', 'count_promotion', u'count_adobe', u'count_john', u'count_mx', u'count_-original', 'count_table', 'count_enter', 'count_offer', u'count_g', 'count_make', 'count_punch', u'count_x-ms-has-attach', u'count_x-cc', 'count_hi', u'count_x-from', 'count_hp', 'count_bank', u'count_statements', u'count_2005', 'count_adult', 'count_over', 'count_fault', 'count_internet', 'count_people', 'count_re', 'count_address', u'count_x-ms-tnef-correlator', u'count_v6.00.2900.2527', 'count_edu', 'count_paper', u'count_x-origin', 'count_cs', 'count_technology', u'count_\x1b', 'count_report', 'count_telnet', u'count_mark', u'count_david', 'count_click', 'count_hammer', 'count_free', 'count_egg', 'count_we', 'count_investment', u'count_louise', 'count_remove', u'count_mimeole', u'count_express', 'count_all', u'count_windows', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', u'count_x-filename', 'count_price', u'count_+0000', 'count_wrap', 'count_call', 'non_ascii', 'count_font', 'count_quality', 'count_original', 'count_business', 'count_george', 'count_hello', 'count_direct', u'count_iso-8859-7', 'count_upgrade', u'count_thread-index']"
0.93867777777777772,0.0054777777777777481,"['count_tape', u'count_x-ms-tnef-correlator', u'count_2005', u'count_x-to', 'count_george', 'count_cs', 'count_best', 'count_fault', 'count_bank', u'count_binary', 'count_spaces', 'count_email', u'count_enron', 'count_call', u'count_houston', u'count_mx', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', 'count_table', 'count_people', 'count_germ', u'count_\x81', 'count_revenue', u'count_n', u'count_+0300', 'is_html', 'count_receive', 'count_hp', 'len', 'count_hello']"
0.9219222222222222,0.024266666666666659,"[u'count_x-cc', u'count_adobe', u'count_2005', 'count_original', u'count_professional', 'count_tape', u'count_mx', 'count_make', 'count_promotion', u'count_g', 'len', u'count_\x81', 'count_spaces', 'count_cs', 'count_dear', 'count_report', 'count_fast', u'count_2004', u'count_statements', u'count_x-bcc', 'count_enter', 'count_hp', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', 'count_paper', 'count_money', 'count_madam', u'count_software', u'count_express', 'count_wrap', u'count_x-filename', 'count_egg', 'count_call', u'count_multipart/alternative', 'count_font', 'count_remove', 'count_thank', 'count_monkey', 'is_a_request', u'count_thread-topic', u'count_\x1b', 'count_re', 'count_george', u'count_mimeole', u'count_john', 'count_bank', u'count_content-classes', 'count_credit', 'count_data', 'count_offer', u'count_-original', 'count_punch', 'count_pm', 'count_technology', 'count_how', 'count_adult', u'count_x-from', u'count_+0000', 'count_receive', 'count_business', 'count_think', u'count_+0300', 'count_hi', 'count_blue', u'count_thread-index', u'count_houston', 'count_fault', 'count_actor', u'count_////////////////////////////////////////////////////////////////////////////', 'count_people', 'count_upgrade', 'count_table', 'count_telnet', 'count_edu', u'count_louise', 'count_spam', 'count_we', 'non_ascii', u'count_x-to', 'count_direct', 'count_hammer', 'count_investment', 'is_html', u'count_x-ms-has-attach', 'count_take', 'count_order']"
0.93788888888888888,0.00057777777777778816,"['count_spam', u'count_mimeole', 'count_technology', 'count_monkey', 'count_thank', 'count_hi', 'count_valuable', 'count_punch', 'count_font', u'count_\x1b', u'count_express', 'count_original', 'count_here', 'count_gun', u'count_v6.00.2900.2527', 'count_blue', u'count_x-origin', 'count_think', u'count_x-ms-has-attach', u'count_mark', 'count_actor', 'count_take', 'count_money', 'len', u'count_g', u'count_multipart/alternative', 'count_wrap', 'count_all', u'count_2004', 'count_address', u'count_binary', 'count_how', u'count_adobe', 'count_telnet', 'count_we', 'count_upgrade', 'count_indigo', 'non_ascii', u'count_professional', 'count_receive', 'count_re', 'count_click', u'count_x-cc', 'count_direct', 'count_tape', 'count_fast', 'count_business', u'count_iso-8859-7', 'count_dear', 'count_best', 'count_order', u'count_thread-index', 'count_investment', u'count_david', u'count_john', u'count_software', u'count_x-bcc', 'count_fault', u'count_2005', u'count_content-class', u'count_enron', u'count_content-classes', 'count_price', 'count_conference', u'count_x-from', 'count_hammer', u'count_x-msmail-priority', 'count_call', u'count_x-ms-tnef-correlator', 'count_make', 'count_over', u'count_n', 'count_spaces', 'count_promotion', u'count_-original', 'count_chamber', 'is_html', 'count_thread', u'count_houston', u'count_+0300', 'is_a_request', u'count_x-to', 'count_report', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', u'count_////////////////////////////////////////////////////////////////////////////', u'count_\x81', 'count_data', 'count_madam', 'count_credit', u'count_k', u'count_mx', 'count_offer', 'count_adult', 'count_cs', 'count_pm', u'count_format', 'count_people', u'count_louise', u'count_thread-topic', 'count_email', 'count_remove', u'count_xp', 'count_our', 'count_table', 'count_regards', u'count_windows', u'count_statements']"
0.95006666666666661,0.0058222222222222286,"['count_order', u'count_professional', u'count_xp', 'count_thread', u'count_mimeole', 'count_re', u'count_\x1b', u'count_houston', 'count_george', 'count_remove', u'count_\x81', 'count_offer', 'is_html', 'count_font', 'count_report', 'count_monkey', 'count_enter', 'count_business', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', 'count_regards', u'count_louise', 'count_punch', 'count_adult', 'count_valuable', 'count_free', 'count_money', u'count_x-cc', 'count_hammer', 'count_upgrade', 'count_technology', 'count_dear', u'count_2004', 'count_hello', 'count_bank', 'count_republic', u'count_+0300', u'count_x-filename', 'count_table', 'count_here', 'count_price', u'count_font-family', u'count_de', u'count_v6.00.2900.2527', u'count_x-bcc', u'count_2005', u'count_format', u'count_mx', u'count_x-origin', u'count_content-classes', 'count_wrap', 'count_fault', 'count_conference', 'count_we', u'count_software', u'count_multipart/alternative', 'count_credit', u'count_windows', u'count_////////////////////////////////////////////////////////////////////////////', 'len', 'count_direct', 'count_thank', 'count_actor', 'count_how', 'count_paper', u'count_thread-index', u'count_x-ms-has-attach', 'count_chamber', u'count_content-class', 'is_a_request', u'count_adobe', 'count_receive', 'count_spam', 'count_make', 'count_cs', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', 'count_madam', u'count_+0000', u'count_david', 'non_ascii', 'count_original', 'count_spaces', u'count_enron', 'count_hp', u'count_-original', 'count_click', u'count_express']"
0.95323333333333338,0.017055555555555546,"['count_font', 'count_thread', u'count_professional', u'count_houston', u'count_express', u'count_+0000', 'is_a_request', u'count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda', 'count_pm', u'count_format', 'count_gun', 'count_direct', u'count_\x81', 'count_click', u'count_x-ms-tnef-correlator', u'count_multipart/alternative', 'count_hammer', 'count_report', 'count_price', 'count_email', 'count_take', u'count_statements', u'count_v6.00.2900.2527', 'count_quality', 'count_punch', u'count_david', 'count_remove', 'count_paper', 'count_thank', u'count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica', u'count_////////////////////////////////////////////////////////////////////////////', 'count_blue', 'count_regards', u'count_mx', 'count_tape', u'count_2004', u'count_-original', 'count_data', 'count_indigo', 'count_credit', 'is_html', u'count_x-filename', u'count_2005', 'count_receive', 'count_internet', u'count_x-msmail-priority', 'count_table']"
